"i1_bus_want_curse","i2_bus_do_curse","i3_bus_want_scold","i4_bus_do_scold","i5_bus_want_shout","i6_bus_do_shout","i7_train_want_curse","i8_train_do_curse","i9_train_want_scold","i10_train_do_scold","i11_train_want_shout","i12_train_do_shout","i13_store_want_curse","i14_store_do_curse","i15_store_want_scold","i16_store_do_scold","i17_store_want_shout","i18_store_do_shout","i19_call_want_curse","i20_call_do_curse","i21_call_want_scold","i22_call_do_scold","i23_call_want_shout","i24_call_do_shout"
2,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,0,2,2,2,2,2,0,1,0,1,0,0,0,2,1,2,1,2,0
1,0,2,1,2,0,2,2,2,2,0,0,2,1,1,2,1,0,2,0,2,2,0,0
0,2,2,2,1,1,2,2,2,2,0,0,0,0,0,1,0,0,2,1,1,1,0,0
2,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2,1,0,1,2,0,2,0,2,0,2,0,2,2,0,0,1,0,2,2,2,0,2,0
2,2,2,2,1,0,2,2,2,0,2,0,2,2,0,0,1,0,2,2,0,0,0,0
1,1,0,1,1,0,2,0,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0
2,2,0,0,1,0,2,2,2,0,2,2,1,1,0,0,0,0,2,2,0,0,2,2
1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,0,0,1,0,2,0,2,1
2,2,2,2,2,2,1,0,1,1,1,1,2,1,1,0,1,0,1,1,1,1,1,0
1,1,1,1,1,1,1,2,2,2,2,2,1,1,0,0,0,0,1,1,1,0,1,1
2,2,2,0,2,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,0,2,1,1,0,0,0,2,2,2,0,0,0,1,0,0,0,0,1,1,1,1,1
1,0,1,1,0,1,1,0,2,1,0,0,2,0,0,2,0,1,2,0,0,0,0,0
1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
2,2,1,2,1,0,2,2,0,2,0,0,1,2,2,1,0,0,2,2,0,1,0,0
1,0,2,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0
2,1,2,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0
1,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,0,1,1,2,2,2,1,2
0,1,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,2,2,0,0,0,0
0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
2,2,2,2,0,2,0,0,0,0,0,0,1,1,1,1,1,0,2,1,0,0,0,0
2,1,2,1,1,0,2,2,2,0,0,2,1,1,1,1,0,0,0,0,2,0,0,0
2,1,2,1,2,1,2,2,2,2,2,1,2,1,0,0,1,0,0,0,0,0,0,0
2,2,2,0,0,0,2,0,2,0,0,0,1,1,1,0,0,0,1,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,2,0,0,0,2,1,2,0,0,0,2,1,0,0,0,0,1,1,1,1,0,0
1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
